Category	Category_ID	HMM_name	HMM_ID	HMM_desc
ST	PT101	ST-Lam	PT101001	Small Terminase subunit; TerS
ST	PT101	ST-HK97	PT101002	Small Terminase subunit; TerS
ST	PT101	ST-SPP1	PT101003	Small Terminase subunit; TerS
ST	PT101	ST-Sfi21	PT101004	Small Terminase subunit; TerS
ST	PT101	ST-T1	PT101005	Small Terminase subunit; TerS
ST	PT101	ST-P2	PT101006	Small Terminase subunit; TerS
ST	PT101	ST-Mu	PT101007	Small Terminase subunit; TerS
ST	PT101	ST-CD27	PT101008	Small Terminase subunit; TerS
ST	PT101	ST-MP22	PT101009	Small Terminase subunit; TerS
ST	PT101	ST-T7	PT101010	Small Terminase subunit; TerS
ST	PT101	ST-Che8	PT101011	Small Terminase subunit; TerS
ST	PT101	ST-B054	PT101012	Small Terminase subunit; TerS
ST	PT101	ST-933W	PT101013	Small Terminase subunit; TerS
ST	PT101	ST-Cdt	PT101014	Small Terminase subunit; TerS
ST	PT101	ST-lp2	PT101015	Small Terminase subunit; TerS
ST	PT101	ST-GTA	PT101016	Small Terminase subunit; TerS
ST	PT101	ST-77	PT101017	Small Terminase subunit; TerS
ST	PT101	ST-EJ	PT101018	Small Terminase subunit; TerS
ST	PT101	ST-FL4A	PT101019	Small Terminase subunit; TerS
LT	PT102	LT-Lam	PT102001	Large Terminase subunit; TerL
LT	PT102	LT-HK97	PT102002	Large Terminase subunit; TerL
LT	PT102	LT-SPP1	PT102003	Large Terminase subunit; TerL
LT	PT102	LT-T1	PT102004	Large Terminase subunit; TerL
LT	PT102	LT-P2	PT102005	Large Terminase subunit; TerL
LT	PT102	LT-933W	PT102006	Large Terminase subunit; TerL
LT	PT102	LT-phi29	PT102007	Large Terminase subunit; TerL
LT	PT102	LT-CD27	PT102008	Large Terminase subunit; TerL
PO	PT103	PO-Lam	PT103001	POrtal; connector in some older literature
PO	PT103	PO-HK97	PT103002	POrtal; connector in some older literature
PO	PT103	PO-SPP1	PT103003	POrtal; connector in some older literature
PO	PT103	PO-T1	PT103004	POrtal; connector in some older literature
PO	PT103	PO-Mu	PT103005	POrtal; connector in some older literature
PO	PT103	PO-M6	PT103006	POrtal; connector in some older literature
PO	PT103	PO-P22	PT103007	POrtal; connector in some older literature
PO	PT103	PO-T7	PT103008	POrtal; connector in some older literature
PO	PT103	PO-933W	PT103009	POrtal; connector in some older literature
PO	PT103	PO-KPP10	PT103010	POrtal; connector in some older literature
PO	PT103	PO-Dp1	PT103011	POrtal; connector in some older literature
PO	PT103	PO-Rose	PT103012	POrtal; connector in some older literature
PO	PT103	PO-phi29	PT103013	POrtal; connector in some older literature
PO	PT103	PO-T4	PT103014	POrtal; connector in some older literature
HIJ	PT104	HIJ-SPP1	PT104001	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HIJ	PT104	HIJ-CD27	PT104002	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HIJ	PT104	HIJ-A118	PT104003	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HIJ	PT104	HIJ-M6	PT104004	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HIJ	PT104	HIJ-Che8	PT104005	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HIJ	PT104	HIJ-D29	PT104006	"Head InJected protein; E. coli phage Mu gpF, B. subtilis phage SPP1 gp7"
HP	PT105	HP-Lam	PT105001	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-HK97	PT105002	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-D3	PT105003	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-T1	PT105004	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-P2	PT105005	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-Mu	PT105006	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-CD27	PT105007	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-KPP10	PT105008	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-Phi297	PT105009	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-B3	PT105010	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HP	PT105	HP-T4	PT105011	"Head Protease; includes protease/scaffold fusion proteins, e.g., E. coli phage lambda gpC"
HS	PT106	HS-SPP1	PT106001	Head Scaffold; contain no protease domain
HS	PT106	HS-TP901	PT106002	Head Scaffold; contain no protease domain
HS	PT106	HS-B3	PT106003	Head Scaffold; contain no protease domain
HS	PT106	HS-P22	PT106004	Head Scaffold; contain no protease domain
HS	PT106	HS-933W	PT106005	Head Scaffold; contain no protease domain
HS	PT106	HS-M6	PT106006	Head Scaffold; contain no protease domain
HS	PT106	HS-N4	PT106007	Head Scaffold; contain no protease domain
HS	PT106	HS-KPP10	PT106008	Head Scaffold; contain no protease domain
HS	PT106	HS-BPP1	PT106009	Head Scaffold; contain no protease domain
HS	PT106	HS-T7	PT106010	Head Scaffold; contain no protease domain
HS	PT106	HS-HK639	PT106011	Head Scaffold; contain no protease domain
HD	PT107	HDa-Lam	PT107001	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-T1	PT107002	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-PB1	PT107003	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-F10	PT107004	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-B3	PT107005	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-Phi297	PT107006	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-Dp1	PT107007	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-FV3	PT107008	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-phi29	PT107009	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-MP29	PT107010	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDa-SEN34	PT107011	Head Decoration; structure like E. coli phage lambda gpD
HD	PT107	HDb-933W	PT107012	Head Decoration; structure like E. coli phage 933W gp55
HD	PT107	HDb-Bcep22	PT107013	Head Decoration; structure like E. coli phage 933W gp55
HD	PT107	HDb-KHP40	PT107014	Head Decoration; structure like E. coli phage 933W gp55
HD	PT107	HDb-BPP1	PT107015	Head Decoration; structure like E. coli phage 933W gp55
HD	PT107	HDb-Cd	PT107016	Head Decoration; structure like E. coli phage 933W gp55
MH	PT108	MH-Lam	PT108001	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-HK97	PT108002	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-SPP1	PT108003	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-T1	PT108004	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-P2	PT108005	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Mu	PT108006	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-SPO1	PT108007	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-PB1	PT108008	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-CD27	PT108009	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-M6	PT108010	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-phiHT2	PT108011	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-B3	PT108012	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Phi297	PT108013	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-P22	PT108014	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-T7	PT108015	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-933W	PT108016	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-N4	PT108017	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-FL4A	PT108018	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Giles	PT108019	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Barn	PT108020	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-phi29	PT108021	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Ngo	PT108022	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Q54	PT108023	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-B40	PT108024	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-3396	PT108025	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-Pap3	PT108026	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-AHJD	PT108027	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-VP2	PT108028	"Major Head; capsid protein, major capsid protein"
MH	PT108	MH-JL1	PT108029	"Major Head; capsid protein, major capsid protein"
PC	PT109	PC-Mu	PT109001	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-TP901	PT109002	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-Dp1	PT109003	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-skin	PT109004	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-Lam	PT109005	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-Nme	PT109006	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-Phi297	PT109007	DNA Packaging Chaperone; E. coli phage lambda gpFI
PC	PT109	PC-B025	PT109008	DNA Packaging Chaperone; E. coli phage lambda gpFI
HT1	PT110	HT1a-HK97	PT110001	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-T1	PT110002	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-P2	PT110003	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-Mu	PT110004	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-A118	PT110005	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-M6	PT110006	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-P40	PT110007	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-D29	PT110008	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-D3	PT110009	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-P22	PT110010	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-933W	PT110011	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-T7	PT110012	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-PBSX	PT110013	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-Cjw	PT110014	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-Bph	PT110015	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-Strp	PT110016	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-phiHT2	PT110017	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-PH10	PT110018	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1a-B025	PT110019	"Head-Tail joining 1, type a; E. coli phage HK97 gp6, B. subtilis phage SPP1 gp15"
HT1	PT110	HT1b-Lam	PT110020	"Head-Tail joining 1, type b; E. coli phage lambda gpW"
HT1	PT110	HT1b-F10	PT110021	"Head-Tail joining 1, type b; E. coli phage lambda gpW"
HT1	PT110	HT1b-S1	PT110022	"Head-Tail joining 1, type b; E. coli phage lambda gpW"
HT2	PT111	HT2-Lam	PT111001	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-HK97	PT111002	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-T1	PT111003	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-A118	PT111004	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-D29	PT111005	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-KPP10	PT111006	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-PB1	PT111007	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-TP901	PT111008	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-FL1A	PT111009	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-PBSX	PT111010	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-T4	PT111011	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-Gif	PT111012	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-phiHT2	PT111013	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-FL3A	PT111014	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-Bcer	PT111015	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-B025	PT111016	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-2389	PT111017	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-Che8	PT111018	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-BFK	PT111019	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
HT2	PT111	HT2-Alpha	PT111020	"Head-Tail joining 2; E. coli phage lambeda gpFII, B. subtilis phage SPP1 gp16"
TC	PT201	TC-Lam	PT201001	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-HK97	PT201002	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-T1	PT201003	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-P2	PT201004	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-PB1	PT201005	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-CD27	PT201006	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-A118	PT201007	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-D29	PT201008	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-Phi297	PT201009	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-Sfv	PT201010	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-PBSX	PT201011	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-Bcer	PT201012	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-2389	PT201013	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-IEBH	PT201014	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-B025	PT201015	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-PH10	PT201016	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-She	PT201017	Tail Completion; E. coli phage lambda gpZ
TC	PT201	TC-Alpha	PT201018	Tail Completion; E. coli phage lambda gpZ
TR	PT202	TR-Lam	PT202001	Tail teRminator
TR	PT202	TR-HK97	PT202002	Tail teRminator
TR	PT202	TR-T1	PT202003	Tail teRminator
TR	PT202	TR-P2	PT202004	Tail teRminator
